City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
350,Umm Kaddadah,13.6,26.69,87.49,13,0,7.96,SD,clear sky
351,Tysmenytsya,48.9,24.84,44.01,90,52,8.99,UA,broken clouds
352,Belmonte,-15.86,-38.88,75.2,78,75,5.82,BR,broken clouds
353,Rutland,43.62,-73.02,57.2,41,1,17.22,US,clear sky
354,Arnes,60.12,11.47,37.4,47,8,3.36,NO,clear sky
355,Sabana De Torres,7.39,-73.5,78.8,65,40,6.93,CO,scattered clouds
356,Giyon,8.53,37.98,54.41,64,31,5.7,ET,scattered clouds
357,Paracuru,-3.41,-39.03,80.01,75,95,18.01,BR,overcast clouds
358,Wroclaw,51.1,17.03,48.99,76,75,11.41,PL,broken clouds
359,Kedrovyy,56.17,91.82,33.8,55,40,11.18,RU,scattered clouds
360,Lucapa,-8.42,20.74,69.94,85,85,4.38,AO,overcast clouds
